dim; p; ave_time; ave_time/dim; ave_path; ave_path/dim; frac_perc; cnt_perc; n_trials
10; 0; 0; 0; 0; 0; 0; 0; 1000
10; 0.02; 0.191; 0.0191; 0; 0; 0; 0; 1000
10; 0.04; 0.362; 0.0362; 0; 0; 0; 0; 1000
10; 0.06; 0.522; 0.0522; 0; 0; 0; 0; 1000
10; 0.08; 0.65; 0.065; 0; 0; 0; 0; 1000
10; 0.1; 0.771; 0.0771; 0; 0; 0; 0; 1000
10; 0.12; 0.893; 0.0893; 0; 0; 0; 0; 1000
10; 0.14; 1.029; 0.1029; 0; 0; 0; 0; 1000
10; 0.16; 1.16; 0.116; 0; 0; 0; 0; 1000
10; 0.18; 1.306; 0.1306; 0; 0; 0; 0; 1000
10; 0.2; 1.462; 0.1462; 0; 0; 0; 0; 1000
10; 0.22; 1.638; 0.1638; 0; 0; 0; 0; 1000
10; 0.24; 1.799; 0.1799; 0; 0; 0; 0; 1000
10; 0.26; 2.023; 0.2023; 0; 0; 0; 0; 1000
10; 0.28; 2.209; 0.2209; 0; 0; 0; 0; 1000
10; 0.3; 2.43; 0.243; 13; 1.3; 0.001; 1; 1000
10; 0.32; 2.718; 0.2718; 13; 1.3; 0.001; 1; 1000
10; 0.34; 3.086; 0.3086; 13; 1.3; 0.004; 4; 1000
10; 0.36; 3.501; 0.3501; 12.3333; 1.23333; 0.006; 6; 1000
10; 0.38; 3.879; 0.3879; 12.9091; 1.29091; 0.011; 11; 1000
10; 0.4; 4.368; 0.4368; 13.3182; 1.33182; 0.022; 22; 1000
10; 0.42; 4.908; 0.4908; 13.2059; 1.32059; 0.034; 34; 1000
10; 0.44; 5.471; 0.5471; 13.2885; 1.32885; 0.052; 52; 1000
10; 0.46; 6.06; 0.606; 13.0617; 1.30617; 0.081; 81; 1000
10; 0.48; 6.77; 0.677; 13.0656; 1.30656; 0.122; 122; 1000
10; 0.5; 7.605; 0.7605; 13.1325; 1.31325; 0.166; 166; 1000
10; 0.52; 8.448; 0.8448; 13.0648; 1.30648; 0.216; 216; 1000
10; 0.54; 9.39; 0.939; 12.7923; 1.27923; 0.284; 284; 1000
10; 0.56; 10.406; 1.0406; 12.6657; 1.26657; 0.359; 359; 1000
10; 0.58; 11.318; 1.1318; 12.5291; 1.25291; 0.446; 446; 1000
10; 0.6; 12.244; 1.2244; 12.4227; 1.24227; 0.537; 537; 1000
10; 0.62; 13.077; 1.3077; 12.23; 1.223; 0.626; 626; 1000
10; 0.64; 13.911; 1.3911; 12.1108; 1.21108; 0.722; 722; 1000
10; 0.66; 14.465; 1.4465; 11.8545; 1.18545; 0.797; 797; 1000
10; 0.68; 14.878; 1.4878; 11.6068; 1.16068; 0.852; 852; 1000
10; 0.7; 14.907; 1.4907; 11.3795; 1.13795; 0.896; 896; 1000
10; 0.72; 14.794; 1.4794; 11.21; 1.121; 0.924; 924; 1000
10; 0.74; 14.764; 1.4764; 10.9697; 1.09697; 0.958; 958; 1000
10; 0.76; 14.537; 1.4537; 10.7566; 1.07566; 0.982; 982; 1000
10; 0.78; 14.196; 1.4196; 10.558; 1.0558; 0.991; 991; 1000
10; 0.8; 13.841; 1.3841; 10.417; 1.0417; 1; 1000; 1000
10; 0.82; 13.448; 1.3448; 10.276; 1.0276; 1; 1000; 1000
10; 0.84; 13.117; 1.3117; 10.177; 1.0177; 1; 1000; 1000
10; 0.86; 12.724; 1.2724; 10.092; 1.0092; 1; 1000; 1000
10; 0.88; 12.408; 1.2408; 10.047; 1.0047; 1; 1000; 1000
10; 0.9; 12.083; 1.2083; 10.018; 1.0018; 1; 1000; 1000
10; 0.92; 11.783; 1.1783; 10.007; 1.0007; 1; 1000; 1000
10; 0.94; 11.505; 1.1505; 10.001; 1.0001; 1; 1000; 1000
10; 0.96; 11.195; 1.1195; 10; 1; 1; 1000; 1000
10; 0.98; 10.893; 1.0893; 10; 1; 1; 1000; 1000
10; 1; 10; 1; 10; 1; 1; 1000; 1000
15; 0; 0; 0; 0; 0; 0; 0; 1000
15; 0.02; 0.261; 0.0174; 0; 0; 0; 0; 1000
15; 0.04; 0.486; 0.0324; 0; 0; 0; 0; 1000
15; 0.06; 0.657; 0.0438; 0; 0; 0; 0; 1000
15; 0.08; 0.812; 0.0541333; 0; 0; 0; 0; 1000
15; 0.1; 0.962; 0.0641333; 0; 0; 0; 0; 1000
15; 0.12; 1.149; 0.0766; 0; 0; 0; 0; 1000
15; 0.14; 1.278; 0.0852; 0; 0; 0; 0; 1000
15; 0.16; 1.447; 0.0964667; 0; 0; 0; 0; 1000
15; 0.18; 1.63; 0.108667; 0; 0; 0; 0; 1000
15; 0.2; 1.844; 0.122933; 0; 0; 0; 0; 1000
15; 0.22; 2.076; 0.1384; 0; 0; 0; 0; 1000
15; 0.24; 2.311; 0.154067; 0; 0; 0; 0; 1000
15; 0.26; 2.582; 0.172133; 0; 0; 0; 0; 1000
15; 0.28; 2.843; 0.189533; 0; 0; 0; 0; 1000
15; 0.3; 3.163; 0.210867; 0; 0; 0; 0; 1000
15; 0.32; 3.525; 0.235; 0; 0; 0; 0; 1000
15; 0.34; 3.984; 0.2656; 0; 0; 0; 0; 1000
15; 0.36; 4.449; 0.2966; 0; 0; 0; 0; 1000
15; 0.38; 5.017; 0.334467; 21; 1.4; 0.001; 1; 1000
15; 0.4; 5.612; 0.374133; 19.3333; 1.28889; 0.003; 3; 1000
15; 0.42; 6.422; 0.428133; 20.625; 1.375; 0.008; 8; 1000
15; 0.44; 7.32; 0.488; 22.0769; 1.47179; 0.013; 13; 1000
15; 0.46; 8.497; 0.566467; 22.0435; 1.46957; 0.023; 23; 1000
15; 0.48; 9.759; 0.6506; 21.1429; 1.40952; 0.049; 49; 1000
15; 0.5; 11.296; 0.753067; 21.3402; 1.42268; 0.097; 97; 1000
15; 0.52; 12.828; 0.8552; 21.4106; 1.42737; 0.151; 151; 1000
15; 0.54; 14.672; 0.978133; 21.1102; 1.40734; 0.236; 236; 1000
15; 0.56; 16.44; 1.096; 20.7284; 1.38189; 0.324; 324; 1000
15; 0.58; 18.819; 1.2546; 20.5536; 1.37024; 0.457; 457; 1000
15; 0.6; 20.64; 1.376; 20.0226; 1.33484; 0.575; 575; 1000
15; 0.62; 21.877; 1.45847; 19.4949; 1.29966; 0.689; 689; 1000
15; 0.64; 23.133; 1.5422; 19.0205; 1.26803; 0.78; 780; 1000
15; 0.66; 23.665; 1.57767; 18.5239; 1.23493; 0.857; 857; 1000
15; 0.68; 23.576; 1.57173; 17.9967; 1.19978; 0.901; 901; 1000
15; 0.7; 23.64; 1.576; 17.4651; 1.16434; 0.946; 946; 1000
15; 0.72; 23.297; 1.55313; 17.0807; 1.13871; 0.979; 979; 1000
15; 0.74; 22.52; 1.50133; 16.6616; 1.11077; 0.99; 990; 1000
15; 0.76; 21.722; 1.44813; 16.2989; 1.08659; 0.997; 997; 1000
15; 0.78; 20.993; 1.39953; 16.008; 1.0672; 0.999; 999; 1000
15; 0.8; 20.354; 1.35693; 15.7477; 1.04985; 0.999; 999; 1000
15; 0.82; 19.795; 1.31967; 15.539; 1.03593; 1; 1000; 1000
15; 0.84; 19.279; 1.28527; 15.339; 1.0226; 1; 1000; 1000
15; 0.86; 18.759; 1.2506; 15.199; 1.01327; 1; 1000; 1000
15; 0.88; 18.298; 1.21987; 15.09; 1.006; 1; 1000; 1000
15; 0.9; 17.848; 1.18987; 15.039; 1.0026; 1; 1000; 1000
15; 0.92; 17.459; 1.16393; 15.009; 1.0006; 1; 1000; 1000
15; 0.94; 17.052; 1.1368; 15.001; 1.00007; 1; 1000; 1000
15; 0.96; 16.562; 1.10413; 15; 1; 1; 1000; 1000
15; 0.98; 16.14; 1.076; 15; 1; 1; 1000; 1000
15; 1; 15; 1; 15; 1; 1; 1000; 1000
20; 0; 0; 0; 0; 0; 0; 0; 1000
20; 0.02; 0.347; 0.01735; 0; 0; 0; 0; 1000
20; 0.04; 0.591; 0.02955; 0; 0; 0; 0; 1000
20; 0.06; 0.796; 0.0398; 0; 0; 0; 0; 1000
20; 0.08; 0.973; 0.04865; 0; 0; 0; 0; 1000
20; 0.1; 1.13; 0.0565; 0; 0; 0; 0; 1000
20; 0.12; 1.266; 0.0633; 0; 0; 0; 0; 1000
20; 0.14; 1.407; 0.07035; 0; 0; 0; 0; 1000
20; 0.16; 1.588; 0.0794; 0; 0; 0; 0; 1000
20; 0.18; 1.803; 0.09015; 0; 0; 0; 0; 1000
20; 0.2; 2.027; 0.10135; 0; 0; 0; 0; 1000
20; 0.22; 2.289; 0.11445; 0; 0; 0; 0; 1000
20; 0.24; 2.55; 0.1275; 0; 0; 0; 0; 1000
20; 0.26; 2.871; 0.14355; 0; 0; 0; 0; 1000
20; 0.28; 3.195; 0.15975; 0; 0; 0; 0; 1000
20; 0.3; 3.582; 0.1791; 0; 0; 0; 0; 1000
20; 0.32; 4.012; 0.2006; 0; 0; 0; 0; 1000
20; 0.34; 4.515; 0.22575; 0; 0; 0; 0; 1000
20; 0.36; 5.195; 0.25975; 0; 0; 0; 0; 1000
20; 0.38; 5.827; 0.29135; 0; 0; 0; 0; 1000
