r;log{r};M(r);log(M(r));TotFields
3;1.09861;4;1.38629;9
5;1.60944;13;2.56495;25
7;1.94591;22;3.09104;49
9;2.19722;37;3.61092;81
11;2.3979;60;4.09434;121
13;2.56495;92;4.52179;169
15;2.70805;118;4.77068;225
17;2.83321;149;5.00395;289
19;2.94444;199;5.2933;361
21;3.04452;245;5.50126;441
23;3.13549;289;5.66643;529
25;3.21888;335;5.81413;625
27;3.29584;383;5.94803;729
29;3.3673;439;6.0845;841
31;3.43399;507;6.22851;961
33;3.49651;568;6.34212;1089
35;3.55535;640;6.46147;1225
37;3.61092;702;6.55393;1369
39;3.66356;783;6.66313;1521
41;3.71357;863;6.76041;1681
43;3.7612;955;6.86171;1849
45;3.80666;1038;6.94505;2025
47;3.85015;1138;7.03703;2209
49;3.89182;1239;7.12206;2401
51;3.93183;1336;7.19744;2601
53;3.97029;1441;7.27309;2809
55;4.00733;1534;7.33563;3025
57;4.04305;1627;7.39449;3249
59;4.07754;1735;7.45876;3481
61;4.11087;1850;7.52294;3721
63;4.14313;1979;7.59035;3969
65;4.17439;2116;7.65728;4225
67;4.20469;2254;7.72046;4489
69;4.23411;2400;7.78322;4761
71;4.26268;2541;7.84031;5041
73;4.29046;2704;7.90249;5329
75;4.31749;2868;7.96137;5625
77;4.34381;3015;8.01136;5929
79;4.36945;3178;8.06401;6241
81;4.39445;3339;8.11343;6561
83;4.41884;3508;8.1628;6889
85;4.44265;3666;8.20686;7225
87;4.46591;3810;8.24538;7569
89;4.48864;3964;8.28501;7921
91;4.51086;4119;8.32337;8281
93;4.5326;4265;8.3582;8649
95;4.55388;4432;8.39661;9025
97;4.57471;4610;8.43598;9409
99;4.59512;4799;8.47616;9801
101;4.61512;4981;8.51339;10201
103;4.63473;5165;8.54966;10609
105;4.65396;5357;8.58616;11025
107;4.67283;5554;8.62227;11449
109;4.69135;5752;8.6573;11881
111;4.70953;5966;8.69383;12321
113;4.72739;6166;8.72681;12769
115;4.74493;6376;8.7603;13225
117;4.76217;6603;8.79528;13689
119;4.77912;6808;8.82585;14161
121;4.79579;7035;8.85865;14641
123;4.81218;7258;8.88986;15129
125;4.82831;7502;8.92292;15625
127;4.84419;7762;8.957;16129
129;4.85981;8025;8.99032;16641
131;4.8752;8282;9.02184;17161
133;4.89035;8549;9.05357;17689
135;4.90527;8820;9.08478;18225
137;4.91998;9078;9.11361;18769
139;4.93447;9359;9.14409;19321
141;4.94876;9667;9.17647;19881
143;4.96284;9958;9.20613;20449
145;4.97673;10283;9.23825;21025
147;4.99043;10597;9.26833;21609
149;5.00395;10918;9.29817;22201
151;5.01728;11220;9.32545;22801
153;5.03044;11509;9.35088;23409
155;5.04343;11811;9.37679;24025
157;5.05625;12117;9.40236;24649
159;5.0689;12426;9.42755;25281
161;5.0814;12769;9.45478;25921
163;5.09375;13126;9.48235;26569
165;5.10595;13456;9.50718;27225
167;5.11799;13772;9.53039;27889
169;5.1299;14113;9.55485;28561
171;5.14166;14454;9.57873;29241
173;5.15329;14803;9.60259;29929
175;5.16479;15181;9.6278;30625
177;5.17615;15546;9.65156;31329
179;5.18739;15924;9.67558;32041
181;5.1985;16256;9.69622;32761
183;5.20949;16579;9.71589;33489
185;5.22036;16912;9.73578;34225
187;5.23111;17249;9.75551;34969
189;5.24175;17555;9.77309;35721
191;5.25227;17897;9.79239;36481
193;5.26269;18219;9.81022;37249
195;5.273;18557;9.8286;38025
197;5.2832;18902;9.84702;38809
199;5.2933;19247;9.86511;39601
201;5.3033;19595;9.88303;40401
203;5.31321;19939;9.90043;41209
205;5.32301;20280;9.91739;42025
207;5.33272;20624;9.93421;42849
209;5.34233;21018;9.95313;43681
211;5.35186;21413;9.97175;44521
213;5.36129;21807;9.98999;45369
215;5.37064;22231;10.0092;46225
217;5.3799;22657;10.0282;47089
219;5.38907;23043;10.0451;47961
221;5.39816;23446;10.0625;48841
223;5.40717;23832;10.0788;49729
225;5.4161;24189;10.0937;50625
227;5.42495;24571;10.1093;51529
229;5.43372;24970;10.1254;52441
231;5.44242;25378;10.1416;53361
233;5.45104;25790;10.1577;54289
235;5.45959;26180;10.1728;55225
237;5.46806;26586;10.1881;56169
239;5.47646;26999;10.2036;57121
241;5.4848;27382;10.2176;58081
243;5.49306;27801;10.2328;59049
245;5.50126;28196;10.2469;60025
247;5.50939;28566;10.26;61009
249;5.51745;28922;10.2724;62001
251;5.52545;29318;10.286;63001
253;5.53339;29695;10.2987;64009
255;5.54126;30067;10.3112;65025
257;5.54908;30431;10.3232;66049
259;5.55683;30763;10.3341;67081
261;5.56452;31108;10.3452;68121
263;5.57215;31458;10.3564;69169
265;5.57973;31801;10.3673;70225
267;5.58725;32158;10.3784;71289
269;5.59471;32519;10.3896;72361
271;5.60212;32854;10.3998;73441
273;5.60947;33219;10.4109;74529
275;5.61677;33542;10.4206;75625
277;5.62402;33871;10.4303;76729
279;5.63121;34205;10.4401;77841
281;5.63835;34526;10.4495;78961
283;5.64545;34834;10.4583;80089
285;5.65249;35150;10.4674;81225
287;5.65948;35479;10.4767;82369
289;5.66643;35815;10.4861;83521
291;5.67332;36120;10.4946;84681
293;5.68017;36429;10.5031;85849
295;5.68698;36743;10.5117;87025
297;5.69373;37039;10.5197;88209
299;5.70044;37293;10.5266;89401
