N=  3, <R2>=   3.01, delta= 0.02, error= 0.8%
N=  4, <R2>=   3.97, delta= 0.03, error= 0.9%
N=  5, <R2>=   4.97, delta= 0.04, error= 0.9%
N=  6, <R2>=   6.07, delta= 0.05, error= 0.9%
N=  7, <R2>=   6.97, delta= 0.07, error= 0.9%
N=  8, <R2>=   7.98, delta= 0.07, error= 0.9%
N=  9, <R2>=   8.94, delta= 0.08, error= 0.9%
N= 10, <R2>=  10.01, delta= 0.09, error= 0.9%
N= 12, <R2>=  11.96, delta= 0.11, error= 1.0%
N= 14, <R2>=  14.11, delta= 0.14, error= 1.0%
N= 16, <R2>=  15.88, delta= 0.15, error= 1.0%
N= 18, <R2>=  18.05, delta= 0.18, error= 1.0%
N= 20, <R2>=  20.18, delta= 0.20, error= 1.0%
N= 25, <R2>=  25.43, delta= 0.25, error= 1.0%
N= 30, <R2>=  29.98, delta= 0.29, error= 1.0%
N= 35, <R2>=  34.82, delta= 0.35, error= 1.0%
N= 40, <R2>=  40.40, delta= 0.40, error= 1.0%
N= 45, <R2>=  45.15, delta= 0.45, error= 1.0%
N= 50, <R2>=  50.08, delta= 0.50, error= 1.0%
N= 55, <R2>=  54.65, delta= 0.54, error= 1.0%
N= 60, <R2>=  59.01, delta= 0.57, error= 1.0%
N= 65, <R2>=  64.79, delta= 0.64, error= 1.0%
N= 70, <R2>=  70.13, delta= 0.70, error= 1.0%
N= 75, <R2>=  74.74, delta= 0.74, error= 1.0%
N= 80, <R2>=  80.03, delta= 0.80, error= 1.0%
N= 85, <R2>=  84.19, delta= 0.85, error= 1.0%
N= 90, <R2>=  91.18, delta= 0.90, error= 1.0%
N= 95, <R2>=  96.10, delta= 0.95, error= 1.0%
