N=  3, <R2>=   3.00, delta= 0.02, error= 0.8%
N=  4, <R2>=   3.97, delta= 0.03, error= 0.9%
N=  5, <R2>=   4.95, delta= 0.04, error= 0.9%
N=  6, <R2>=   5.94, delta= 0.05, error= 0.9%
N=  7, <R2>=   7.02, delta= 0.06, error= 0.9%
N=  8, <R2>=   7.86, delta= 0.08, error= 1.0%
N=  9, <R2>=   8.91, delta= 0.08, error= 0.9%
N= 10, <R2>=   9.98, delta= 0.10, error= 1.0%
N= 12, <R2>=  12.02, delta= 0.11, error= 1.0%
N= 14, <R2>=  14.11, delta= 0.14, error= 1.0%
N= 16, <R2>=  16.11, delta= 0.16, error= 1.0%
N= 18, <R2>=  18.08, delta= 0.17, error= 1.0%
N= 20, <R2>=  19.65, delta= 0.19, error= 1.0%
N= 25, <R2>=  24.72, delta= 0.25, error= 1.0%
N= 30, <R2>=  30.32, delta= 0.30, error= 1.0%
N= 35, <R2>=  34.40, delta= 0.34, error= 1.0%
N= 40, <R2>=  39.06, delta= 0.38, error= 1.0%
N= 45, <R2>=  45.15, delta= 0.45, error= 1.0%
N= 50, <R2>=  49.74, delta= 0.49, error= 1.0%
N= 55, <R2>=  55.39, delta= 0.55, error= 1.0%
N= 60, <R2>=  58.74, delta= 0.58, error= 1.0%
N= 65, <R2>=  65.23, delta= 0.64, error= 1.0%
N= 70, <R2>=  69.26, delta= 0.70, error= 1.0%
N= 75, <R2>=  75.31, delta= 0.75, error= 1.0%
N= 80, <R2>=  79.08, delta= 0.78, error= 1.0%
N= 85, <R2>=  85.30, delta= 0.86, error= 1.0%
N= 90, <R2>=  89.56, delta= 0.90, error= 1.0%
N= 95, <R2>=  94.73, delta= 0.92, error= 1.0%
