d log(r);d log(M(r));slope d log(r) / d log(M(r))
-0.510826;-1.17866;2.30735
-0.336472;-0.526093;1.56356
-0.251314;-0.519875;2.06863
-0.200671;-0.483427;2.40905
-0.167054;-0.427444;2.55872
-0.143101;-0.248896;1.73931
-0.125163;-0.233262;1.86366
-0.111226;-0.289359;2.60155
-0.100083;-0.207953;2.0778
-0.0909718;-0.165168;1.8156
-0.0833816;-0.147704;1.77142
-0.076961;-0.133904;1.7399
-0.071459;-0.136464;1.90969
-0.0666914;-0.144012;2.15937
-0.0625204;-0.11361;1.81717
-0.0588405;-0.119347;2.02831
-0.0555698;-0.0924652;1.66395
-0.0526437;-0.109199;2.07431
-0.0500104;-0.097282;1.94523
-0.047628;-0.101297;2.12683
-0.0454624;-0.0833397;1.83316
-0.0434851;-0.0919766;2.11513
-0.0416727;-0.0850323;2.04048
-0.0400053;-0.0753755;1.88414
-0.0384663;-0.0756572;1.96685
-0.0370413;-0.0625414;1.68842
-0.0357181;-0.0588591;1.64788
-0.0344862;-0.0642696;1.86363
-0.0333364;-0.0641782;1.92517
-0.0322609;-0.067406;2.08941
-0.0312525;-0.0669358;2.14177
-0.0303054;-0.0631789;2.08474
-0.0294139;-0.0627623;2.13376
-0.0285734;-0.057089;1.99798
-0.0277796;-0.0621745;2.23814
-0.0270287;-0.0588828;2.17853
-0.0263173;-0.0499849;1.89932
-0.0256424;-0.0526522;2.05332
-0.0250013;-0.0494193;1.97667
-0.0243915;-0.0493747;2.02426
-0.0238106;-0.0440551;1.85023
-0.0232569;-0.038528;1.65663
-0.0227283;-0.0396244;1.7434
-0.0222231;-0.0383568;1.72598
-0.02174;-0.0348318;1.6022
-0.0212774;-0.0384088;1.80514
-0.0208341;-0.0393769;1.89002
-0.0204089;-0.0401797;1.96874
-0.0200007;-0.0372231;1.86109
-0.0196085;-0.0362744;1.84994
-0.0192314;-0.036499;1.89789
-0.0188685;-0.0361143;1.914
-0.018519;-0.0350292;1.89152
-0.0181823;-0.0365291;2.00904
-0.0178576;-0.0329736;1.84648
-0.0175443;-0.0334906;1.90892
-0.0172418;-0.0349832;2.02897
-0.0169496;-0.0305743;1.80384
-0.0166671;-0.0327993;1.96791
-0.0163938;-0.0312066;1.90356
-0.0161294;-0.0330653;2.05001
-0.0158733;-0.0340704;2.14639
-0.0156253;-0.0333216;2.13254
-0.0153849;-0.0315228;2.04894
-0.0151518;-0.0317298;2.09413
-0.0149257;-0.0312076;2.09087
-0.0147061;-0.028832;1.96054
-0.014493;-0.0304845;2.1034
-0.014286;-0.0323796;2.26653
-0.0140847;-0.0296582;2.1057
-0.0138891;-0.0321158;2.3123
-0.0136988;-0.0300789;2.19572
-0.0135137;-0.0298419;2.20826
-0.0133335;-0.0272851;2.04635
-0.0131581;-0.0254314;1.93276
-0.0129872;-0.025902;1.99442
-0.0128207;-0.0255781;1.99507
-0.0126584;-0.0251816;1.98932
-0.0125002;-0.0272293;2.17832
-0.0123458;-0.0275746;2.23352
-0.0121953;-0.0248301;2.03604
-0.0120483;-0.0232124;1.92661
-0.0119049;-0.0244588;2.05452
-0.0117648;-0.0238748;2.02934
-0.011628;-0.0238587;2.05182
-0.0114944;-0.0252148;2.19366
-0.0113638;-0.0237587;2.09075
-0.0112361;-0.024024;2.13812
-0.0111112;-0.0206347;1.8571
-0.0109891;-0.0196748;1.79039
-0.0108697;-0.0198866;1.82955
-0.0107528;-0.0197307;1.83494
-0.0106384;-0.0175846;1.65294
-0.0105264;-0.0192943;1.83294
-0.0104168;-0.0178319;1.71185
-0.0103094;-0.0183821;1.78305
-0.0102042;-0.0184207;1.80521
-0.0101011;-0.0180875;1.79064
-0.0100001;-0.0179192;1.79191
-0.00990107;-0.0174032;1.75771
-0.009804;-0.0169576;1.72966
-0.00970881;-0.0168203;1.73247
-0.00961546;-0.0189238;1.96806
-0.00952388;-0.018619;1.95498
-0.00943403;-0.0182328;1.93266
-0.00934586;-0.0192567;2.06045
-0.00925933;-0.0189811;2.04995
-0.00917438;-0.0168932;1.84134
-0.00909097;-0.0173379;1.90715
-0.00900907;-0.0163293;1.81254
-0.00892863;-0.0148688;1.66529
-0.00884962;-0.0156689;1.77057
-0.00877199;-0.0161082;1.83633
-0.00869571;-0.0162076;1.86386
-0.00862074;-0.0161042;1.86807
-0.00854706;-0.0150089;1.75604
-0.00847463;-0.015389;1.81589
-0.00840341;-0.0154151;1.83438
-0.00833338;-0.014086;1.69031
-0.00826451;-0.0151861;1.83751
-0.00819677;-0.0141081;1.72118
-0.00813013;-0.0130371;1.60355
-0.00806456;-0.0123854;1.53578
-0.00800004;-0.0135991;1.69988
-0.00793655;-0.012777;1.6099
-0.00787406;-0.0124495;1.58108
-0.00781254;-0.0120336;1.54029
-0.00775198;-0.0108508;1.39975
-0.00769235;-0.0111524;1.4498
-0.00763363;-0.0111883;1.46566
-0.00757579;-0.0108444;1.43146
-0.00751883;-0.0111635;1.48474
-0.00746272;-0.0111633;1.49587
-0.00740744;-0.010249;1.3836
-0.00735297;-0.0110485;1.50259
-0.0072993;-0.00967638;1.32566
-0.00724641;-0.00976081;1.34699
-0.00719428;-0.00981264;1.36395
-0.00714289;-0.00934083;1.30771
-0.00709223;-0.00888126;1.25225
-0.00704228;-0.0090307;1.28235
-0.00699304;-0.00931635;1.33223
-0.00694447;-0.00942583;1.35731
-0.00689658;-0.00847993;1.22958
-0.00684934;-0.00851843;1.24369
-0.00680275;-0.00858257;1.26163
-0.00675678;-0.00802368;1.1875
-0.00671143;-0.00683423;1.0183
